Name,Sub-services,Life event link
Work for the council,"A. Register for an account (online) > Login account > Apply for a job posting (online) (upload CV...) > Get notice of post status/notified for interview > Arrange interviews 

B. Login account > Apply for a job posting (online)",Finding a job
Become a volunteer,Browse volunteer profiles on website > People directed to library > Fill in paper form,Finding a job
Apply for a school job,Register for an account (online),Finding a job
Apply for 'Opportunity Ready' programme,"A. Fill in form (online) > Get contacted (email/hone)
B. Email 
C. Call",Finding a job
Apply for Plan B (skills/work programme),"A. Call 
B. Email
",Finding a job
Apply for a course/music group,Register for an account (online) > Fill in form (online) > Audition ,
Apply for instrumental tuition ,Register for an account (online) > Fill in form (online),
Apply for funding via Explore Culture,"A. Download Cultural Strategic Fund application form > Email

B. Download Cultural Strategic Fund application form > Post it",
Apply for funding via Explore Culture,"A. Download the Essex Small Grants application form > email

B. Download the Essex Small Grants application form > post it",
Apply for a watercourse consent ,"Fill in form (online) > Upload docs > Pay (online) > Get result (email/post)

",
(NT) Apply for a flood grant - Property Level Resilience grant ,"A. Check eligibility (online) > Not eligible so leave

B. Check eligibility (online) > Eligible so fill in a form (online) > > wait to be contacted by supplier > Book an appointment for assessment (phone?) > Get home assessed? > Get the grant (via supplier)


",
Apply to be on waiting list for plot of land for Gypsies and Travellers,Fill in form (paper) > Submit > Wait ,
Apply for a new or extend a vehicle crossing or dropped kerb,Fill in the form (online) ,
(NT) Apply to hang seasonal decorations from a lampost ,"A. Download attachments > Mail it > Wait for answer
B. Download attachments > Email it > Wait for answer",
Request a written response about an enquiry on Highways Status,"A. Up to 1000m > Fill form (online)
B. From 1001m > Make request (email)",
Apply for a licence to plant,"A. Call > Get paper copy > Email
B. Call > Get paper copy > Mail",
(NT) Apply for a Blue Badge,"A. Check if eligible > If automatically eligible > Fill in form (online) and submit your documents > Get confirmation > Get decision (email/post)

B. Check if eligible > If not automatically eligible > Fill in form (online) and submit your documents > Get confirmation > Be invited to attend mobility assessment if service can't make decision w/out further assessment > Get decision of application (email/post)",Being/becoming disabled
(NT) Request a review of the Blue Badge application decision,Email or post a written request > Might attend a mobility assessment > Get the final decision,Being/becoming disabled
(NT) Apply for disabled parking bay,"Fill in form (online) > Get assessment > ?
",Being/becoming disabled
Apply for a Traffic Regulation Order,"Call
",Being/becoming disabled
Apply for a bus pass,"1. Download form > Fill it in (paper) > Mail it
2. Apply online 
3. Call",Retiring
Apply for a school place - step 02: Apply,"A. Register for an Education Portal account (Online) > Log into portal > Apply for a school place (online portal) > Receive application acknowledgement (email) > Wait > Check progress/status of application (online portal)

B. (after deadline/church school) Fill in form (paper) > Send application (email/post) > Receive acknowledgement of application (post/email) > Wait > Check progress/status of application (email)","Starting/attending school, Moving somewhere"
(NT) Apply for a school place - step 06: Request to apply to a school not on original application,"A. Apply to a school not part of original application (email) > Wait > get offer (email) > Decide on offer (email if rejecting)

","Starting/attending school, Moving somewhere"
(NT) Apply for a school place - step 07: Appeal decision > Submit appeal,"A. Fill in appeal form (online) > Recieve copy of appeal (email) > Send evidence (post if not part of online form) > Wait > Receive invitation for appeal hearing > Receive hearing pack (post)

B. Fill in appeal form (paper) > Send evidence (post)  Wait > Receive invitation for appeal hearing > Receive hearing pack (post)","Starting/attending school, Moving somewhere"
