Name,Sub-services,Life event link
Register a birth,"A. Book an appointment (online form) > Pay (in person)

B. Book an appointment (by phone) > Pay (in person)
",Having children
Register a death,"A. Book an appointment (online form) > Pay (in person)

B. Book an appointment (by phone) > Pay (in person)
",Going through bereavement
Work for the council,"A. Register for an account (online) > Login account > Apply for a job posting (online) (upload CV...) > Get notice of post status/notified for interview > Arrange interviews 

B. Login account > Apply for a job posting (online)",Finding a job
Become a volunteer,Browse volunteer profiles on website > People directed to library > Fill in paper form,Finding a job
Apply for a school job,Register for an account (online),Finding a job
"Register for Duke of Edinburgh Award: Bronze, Silver and Gold levels ",Select award type > Fill in a registration form (online) > Pay (online),
Apply to take part in National Citizen Service programme ,"Sign up > Pay (on other site) > get signed up to scheme > Be contacted to start scheme (email/phone) > Might do a home visit to assess needs/risks 

",Finding a job
Apply for 'Opportunity Ready' programme,"A. Fill in form (online) > Be contacted (email/hone)
B. Email 
C. Call",Finding a job
Refer a male youth to the Good Man mentoring programme,A. Fill in form (online) > be contacted (email/phone),
Book a work placement ,Fill in form (online) > Pay (online),Finding a job
Book a session,Go to website > Fill in form > Submit,
Apply for a course/music group,Register for an account (online) > Fill in form (online) > Audition ,
Apply for instrumental tuition ,Register for an account (online) > Fill in form (online),
Get something repaired at Record Office,"A. Fill in enquiry form (online) > Get a quote (later)

B. Send an email
",
Get a document digitised at Record Office,"A. Fill in enquiry form (online) > Get a quote (later)

B. Send an email
",
Get the support of Record Office staff to complete a task,"A. Fill in enquiry form (online) > Get a quote (later)

B. Send an email
",
Join the library,"A. Register for an account (online form) > Get temporary card/member number > Get permanent card (in person)

B. Register for library card (in person) > Get permanent card
",Moving somewhere
Request an asbestos collection,"A. Current process - Provide a few details and request a callback using online form > Business team contact customer to find out more details (weight, size of asbestos plus address and contact details etc) > Business team work out a quote for customer (% covered by council) > arrange for collection (collected by a third party)
B. New process - Fill in the new online form which collects all details needed (size, weight, customer address etc). Form provides an estimated quote > Business team contact customer to finalise quote (% covered by council) > Arrange for collection (by a third party)",
Claim a refund on nappies,Request a refund (online form)> Attach evidence (including birth certificate) > Checked > Payment issued back,Having children
Report a flood,"A. Fill in a form (online) > Get notification of submission > Get response if possible or update about next steps > eg site visit >  Be updated about status/actions > receive final update about report

B. Report by email > Get notification about repot with SLA > Get response if possible or update about next steps > receive final update about report

- Might email (most common) to get updates if haven't heard yet",
Apply for a watercourse consent ,"Fill in form (online) > Upload docs > pay (online) > Get result (email/post)

",
(NT) Apply for a flood grant - Property Level Resilience grant ,"A. Check eligibility (online) > Not eligible so leave

B. Check eligibility (online) > Eligible so fill in a form (online) > > wait to be contacted by supplier > Book an appointment for assessment (phone?) > Get home assessed? > Get the grant (via supplier)

",
Report something,"A. Get directed to the right authority > Report to Highways authority > Report something > Select from options > Check if Highway authority is already aware of it > Get an issue reference number

B. Get directed to the right authority > Report to Highways authority > Report something > Select from options > Check if Highways Authority is already aware of it > Upload a picture and fill in a form > Get a reference number

C. Get directed to the right authority > Report to Highways authority > Report something > Select from options > if it is about Traffic Lights not working/out of sync OR flooding OR tree in the middle of the street (if severe and urgent conditions) > Call ",Daily life
Apply for a new or extend a vehicle crossing or dropped kerb,Fill in the form (online) ,
Request a written response about an enquiry on Highways Status,"A. Up to 1000m > Fill form (online)
B. From 1001m > Make request (email)",
Apply for a licence to plant,"A. Call > Get paper copy > Email
B. Call > Get paper copy > Mail",
(NT) Apply for a Blue Badge,"A. Check if eligible > if automatically eligible > Fill in form (online) and submit your documents > Get confirmation > Get decision (email/post)

B. Check if eligible > If not automatically eligible > Fill in form (online) and submit your documents > Get confirmation > Be invited to attend mobility assessment if service can't make decision w/out further assessment > Get decision of application (email/post)",Being/Becoming disabled
Renew a Blue Badge,"Get renewal letter via post > Fill in form (online) > Upload supporting documents > Get confirmation > Get decision (email/post) > Pay (online)

",Being/Becoming disabled
Report a lost/stolen Blue Badge,Email > Fill in form (PDF attachment) > Pay later (online?),Being/becoming disabled
(NT) Apply for disabled parking bay,"Fill in form (online) > get assessment > ?
",Being/Becoming disabled
Apply for a bus pass,"1. Download form > Fill it in (paper) > Mail it
2. Apply online 
3. Call",Retiring
